"ABronte_Agnes.txt"	"ABronte_Tenant.txt"	"Austen_Emma.txt"	"Austen_Mansfield.txt"	"CBronte_Professor.txt"	"CBronte_Villette.txt"	"Dickens_Bleak.txt"	"Dickens_David.txt"	"EBronte_Wuthering.txt"	"Eliot_Middlemarch.txt"	"Eliot_Mill.txt"	"Fielding_Joseph.txt"	"Fielding_Tom.txt"	"Richardson_Clarissa.txt"	"Richardson_Pamela.txt"	"Sterne_Sentimental.txt"	"Sterne_Tristram.txt"	"Thackeray_Barry.txt"	"Thackeray_Pendennis.txt"	"Thackeray_Vanity.txt"	"Trollope_Barchester.txt"	"Trollope_Phineas.txt"	"Trollope_Prime.txt"
"you"	1.1122168237429	1.69942217255947	1.2458942828473	1.02100787795423	1.00438008805216	0.879049575924238	1.21718397219793	0.995322543216849	1.51390460515036	1.08994393227899	1.21705608936614	0.740832742761538	1.0318572281685	1.44732768786839	1.9243898664579	0.328635069013364	0.462663681969473	0.723359900939663	0.959480487380135	0.685900318008329	0.816283207310663	1.36541800289611	1.21630911879286
"her"	1.09758239185155	1.05168179455157	1.54755152791888	1.95573340002501	1.39509745414419	1.1030604520385	0.75044213947708	1.0833918131925	1.32959572060488	1.17789329857239	1.3828871915902	0.966589466147451	1.04535118746842	1.36998640574251	0.909624680254522	0.708391148762141	0.297579296601612	0.899693571266233	0.929426502558802	1.5155443390251	1.22872103837289	0.827135503142508	1.06858925769888
"his"	0.630744014517356	1.03614558622297	0.71674758643041	0.846567462798549	0.575379176002973	0.84248688120214	1.14885971596229	0.820302343201751	1.22072489112917	1.19045749375717	0.947400297053974	1.42906197716131	1.13062152602324	0.646581401440598	0.597389238345789	1.01755154701916	1.29075687718042	1.02900492950572	1.55999842708117	1.32815243396158	1.4142169746472	1.29756408215252	1.31008831461863
"as"	0.979043493531581	0.881978595885295	0.895622853652608	1.06414905589596	0.912049183096688	0.796139803385397	0.851944429604928	0.893553609022767	0.802386585742208	0.859705055518037	0.968069101099292	0.951977380491404	0.946299784096651	1.21064472810967	1.22345316013218	1.11735923464544	1.23198897300416	1.03057233990862	0.849657047519001	0.840145844067619	1.02907282358174	1.04965087451953	1.05237180278165
"my"	1.26880524498039	1.4203679691188	0.456225420232226	0.362635988495686	1.24759320354461	0.983073017246263	1.03695414402078	1.45803569181906	0.94811919212701	0.313790774739686	0.372038472815716	0.483660035215126	0.642542147089898	1.54620442740014	1.80741536416848	1.09058156235546	1.69358414762498	1.66929207909153	0.383960721969744	0.328181970338913	0.247159435526263	0.350262697022767	0.345502300410725
"not"	0.894163788561728	0.974598299382734	1.34062961601027	1.1448043016131	0.794946571933657	0.987707725027937	0.637130718641837	0.565041252764397	0.803243836368001	0.920641402164183	0.670534456819023	0.880378160776778	0.789540171803941	1.13143980063136	0.983814734235751	0.705956814917598	0.714297162578736	0.585427785484212	0.580013819215451	0.542484796970224	1.09326351542598	1.18725407692133	1.12887588358688
"for"	0.946847743370602	0.990134507711337	0.839529564279793	0.964736776291109	0.654198241208859	0.678212238718349	0.684648411250165	0.731673903258004	0.72180502691767	0.801595652788466	0.855592353503843	0.960744631885032	1.00372088750057	1.07418447397057	1.22754954348083	0.776552496409358	0.867627967111344	0.890289108848815	0.726070567879874	0.743988526758317	0.704581294731309	0.769895603520822	0.710042482680816
"with"	0.885383129426916	0.916038744913386	0.759129182845426	0.835938476928848	0.805080451745842	0.832187530576197	0.952040870839039	0.941921811263361	0.690944004389123	0.959590407236976	1.00556135029777	0.927867439158928	0.834902843493041	0.816380200217632	0.803118713189444	0.961561868594659	0.844655059115169	0.902828392072038	1.03559852370332	1.01408228834724	0.842566010270511	0.734262818325866	0.694177581131344
"had"	0.740502253702511	0.603521938918799	1.01341876133552	1.02851069150932	0.926687009492067	0.794079933260208	0.58961302603351	0.855250466207961	0.590645681171347	1.17506635465582	1.00075465168258	0.995813637459543	0.916727915843631	0.573174481725404	0.471766815653646	1.16604591153631	0.641104409195574	0.98668484862734	0.880272789065967	0.90315678237269	1.26814524281266	1.38323439549359	1.51562692802623
"she"	0.908798220453082	0.807882833087343	1.4733837341926	1.42240840315118	0.985238315073583	0.994917270466097	0.513697185771685	0.750685682173382	1.09985255289236	0.822954784602579	0.945958287469417	0.710877967166644	0.73097064633194	0.954704099709168	0.746679653719061	0.555028116555904	0.168824161088168	0.46865571046795	0.628324897619837	1.0331168426269	1.15037806801181	0.76003972676477	0.920869396604911
"be"	0.744892583269917	0.679410341139282	1.23093607234788	1.19419782418407	0.489804190922296	0.512392693640666	0.646409321340505	0.564482082796297	0.618077701196722	0.770185164826536	0.682551203356998	0.56402650632338	0.807053608342138	1.20205125231791	1.09578254576571	0.428442756639646	0.571117177858391	0.466304594863596	0.444911326700859	0.440092022224483	0.948202660628361	1.10120469139734	1.1732976079254
"but"	1.0668500848797	1.15087450926496	0.898115888735844	0.802801050393898	0.585513055815158	0.682846946500023	0.575554537096135	0.615925719861438	0.588931179919761	0.748511928132804	0.770513788014978	0.643662373148831	0.625890027102761	0.844334880504095	0.921686253447789	0.720562817984858	0.628282321011663	0.555646987829058	0.451652407408448	0.406617461249914	0.802130928793822	0.86238921615454	0.978688148918542
"have"	0.523912661710472	0.608302310712216	0.823324836238758	0.751531824434163	0.530339710171037	0.47377012879338	0.616886494572017	0.669606036798976	0.542639646126942	0.641402164182621	0.537869575039775	0.721837031408678	0.855574440718453	0.998499765491293	0.967429200841124	0.618320796514034	0.601035383620851	0.568969976253732	0.50838983669732	0.399069275932119	0.555476931786018	0.740707045435592	0.677960126214106
"me"	0.927822981911842	1.15266714868749	0.363359863381677	0.266349881205452	0.858001824098366	0.891923764206667	0.68633542992265	1.01125888730768	0.912114665843706	0.347085891979332	0.416740769936984	0.355804285724723	0.452765400339933	1.14251813689303	1.36978507642031	0.74977482411938	0.267661090839152	0.850320143574793	0.32216748215018	0.214631008601649	0.21885487849258	0.418116617766355	0.395212325265737
"is"	0.373178013229526	0.635789448524359	0.774710652115652	0.605852194572965	0.520205830358852	0.451626524947602	0.976502641590071	0.485639117294288	0.560641909268594	0.683806322931227	0.426834837028883	0.635625726038006	0.714892737378842	0.812859981218596	0.764203071377204	0.562331118089535	0.730324772808625	0.410661525560545	0.543780510412161	0.469628399554985	0.593384820670414	0.735779107057566	0.663505438135698
"at"	0.60732892349119	0.58738818411602	0.643203051474942	0.6571214205327	0.644064361396674	0.570584024677244	0.7032056166475	0.742857302619991	0.672084490621678	0.618472507970411	0.68158986363396	0.57352436199981	0.618425283660251	0.465186587137327	0.418286255268404	0.562331118089535	0.504869722241515	0.816620819912382	0.823254481414279	0.805358555211694	0.711657433989729	0.692943950387033	0.687831620511555
"him"	0.47708247965814	0.75828647573065	0.480532512293779	0.447667875453295	0.298386461136571	0.40682434972475	0.58511430957355	0.476412812820649	0.793814079484278	0.633863647071757	0.513355412102306	0.740832742761538	0.569904451283936	0.454936537698957	0.349102892046644	0.494169770442318	0.415115104954134	0.586211490685664	0.605292871868908	0.544125706821919	0.635336217702479	0.880584680934944	0.840487228754253
"so"	0.627817128139086	0.508512049524652	0.605807525226399	0.538326872577216	0.364819673238675	0.358932369314115	0.56599476461872	0.477810737740897	0.307752974659671	0.254739057371256	0.347524309878246	0.47197036669029	0.506741237539621	0.622457547711909	0.835889779978699	0.688916478005794	0.581267997670654	0.28683610373122	0.336773157016622	0.323587422754169	0.615118676964134	0.581496728607061	0.49745280191789
"said"	0.272200433179184	0.411111974233796	0.301657245071581	0.255095660872827	0.254472981950434	0.304860778527914	0.490078924356894	0.825055287930596	0.321468984672359	0.719614279207828	0.792143931783333	0.271054188919655	0.273324452202674	0.21359446455916	0.901431913557208	0.856885513279291	0.443430549693606	0.384799253912648	0.533949767713594	0.440748386165161	0.650499373256237	0.739948901069742	0.517548343880555
"which"	0.275127319557455	0.155959629760205	0.346531876569833	0.423283731399275	0.35468579342649	0.345543213500389	0.322782906002131	0.374643878626567	0.158591365771697	0.626011025081275	0.397033305614705	0.97900973895509	0.983336395792182	0.370658353427917	0.34159285590744	0.620755130358577	0.705749103789461	0.687309461672897	0.63843651868122	0.648159391419354	0.443269580688205	0.434037649449208	0.447390223695112
"this"	0.264883217233507	0.337613757910021	0.327834113445561	0.318244341628111	0.287126594678587	0.51342262870326	0.441155382854829	0.392257732621696	0.253746185234715	0.385406687292887	0.381651870046096	0.524573875052056	0.768868574578529	0.656003164055665	0.610133542097166	0.457654762774167	0.633624857754959	0.3855829591141	0.331155589760298	0.34130924915247	0.392725728842344	0.36315115124222	0.399090412311164
"on"	0.396593104255693	0.429635914933284	0.430671810629055	0.462048268100538	0.654198241208859	0.580883375303187	0.583146121122317	0.658143052452939	0.699516510647053	0.633549542192138	0.65755637055801	0.569871340585798	0.434103541733658	0.309158056797698	0.326117629923625	0.245867718298888	0.305593101716557	0.442009733618602	0.45221416413408	0.499164776885487	0.607031660668796	0.527668478631701	0.442101923178621
"all"	0.452203945442838	0.397965951801901	0.527276920104458	0.546454920595223	0.2781187015122	0.365626947220978	0.411351386307594	0.42357125083526	0.2434591777252	0.327925494322554	0.372999812538754	0.420097462611326	0.469417520327071	0.503701924420898	0.525702529744295	0.384624747437864	0.597829861574873	0.317400606587826	0.280316606090566	0.361328349343144	0.460959928834257	0.411672390656629	0.45021065063724
"by"	0.383422115553474	0.366295988670519	0.354634240590351	0.433912717268976	0.456024591548344	0.343998310906497	0.413038404980079	0.396451507382442	0.385762781606831	0.399227301996136	0.421066798690655	0.493888495174359	0.510186503743856	0.507222143419934	0.408500450602168	0.467392098152341	0.495787409777911	0.420849693179414	0.388454775774803	0.408586553071947	0.395252921434637	0.34002774808379	0.431172768777874
"would"	0.551718082304045	0.424855543139868	0.511072192063423	0.483931474302864	0.316402247469345	0.382620875753784	0.247148235519053	0.280144154017776	0.378904776600487	0.484663829252587	0.398475315199262	0.460280698165453	0.374672699710598	0.462701726667419	0.419651716384623	0.31159473210156	0.36115548384684	0.395771126732968	0.318235185070753	0.299301956949089	0.534248514010756	0.689911372923632	0.657512030883675
"mr"	0.228297137505122	0.216909370126262	0.719240621513646	0.301988245592097	0.115976624517233	0.023688506439669	0.869939295444768	0.695327855331546	0.267462195247403	0.622555871405462	0.447022971212682	0.238907600476354	0.349407414212872	0.263602281516055	0.322021246574968	0.0194746707563475	0.0277811910651416	0.11598836981481	0.417385247144871	0.259591938538081	1.07911123690914	0.750941994374569	0.438223836133195
"if"	0.465374934145056	0.518670339585661	0.30228050384239	0.246967612854821	0.237583182263458	0.201352304737186	0.385483766662824	0.434195480229148	0.383191029729452	0.41116328742167	0.456155698581543	0.371146975663571	0.345387936974597	0.554020348936532	0.500669075946947	0.292120061345213	0.273537881256778	0.208465583586078	0.249700864543601	0.203472821610126	0.319942582184303	0.394614142425001	0.413897653757338
"will"	0.275127319557455	0.353149966238624	0.34840165288226	0.311366762535951	0.253346995304636	0.218861200801289	0.226060502112991	0.14678211662608	0.206597400816103	0.396086253199943	0.171599140562288	0.269592980354051	0.379553493499931	0.70673573198295	0.698205784093288	0.167969035273497	0.239879899774011	0.188872953549793	0.19436782706881	0.170982806546574	0.276980308115321	0.386274554400649	0.320118457931569
"from"	0.365860797283849	0.385417475844184	0.340299288861742	0.392022008253095	0.410985125716409	0.3254594797798	0.299726984144836	0.298876347949104	0.416623804135377	0.364675765238013	0.367231774200526	0.382836644188408	0.482050163075934	0.421805064766853	0.304952982622232	0.294554395189756	0.345127873616951	0.377745907099585	0.326661535955239	0.359687439491449	0.335105737738062	0.318041561474136	0.30848419679529
"your"	0.196101387344143	0.364503349247988	0.228735968886922	0.258847067650369	0.265732848408418	0.206501980050158	0.238431972377881	0.160481780844514	0.349758255323526	0.212649003502269	0.245141629374697	0.251327873283993	0.367207956268088	0.657556201849357	0.868660846767954	0.126585359916259	0.303990340693568	0.237462676039781	0.225826203704224	0.157527345762678	0.182968743682019	0.201666401316139	0.248197570907296
"what"	0.310249956096704	0.331040746694074	0.334689959924461	0.345754657996749	0.334418033802119	0.323399609654611	0.349212865204396	0.368772593961524	0.260604190241059	0.356509038367911	0.336468903063309	0.282743857444492	0.315528963204557	0.481131108485902	0.435582096073844	0.253170719832518	0.337114068502006	0.186521837945438	0.27189025520608	0.213974644660972	0.283551008855283	0.342681253364266	0.345854853778491
"no"	0.44195984311889	0.455330413322896	0.462458007940317	0.427035138176816	0.395221312675232	0.349662953750766	0.353149242106861	0.344448700349202	0.336899495936632	0.347399996858951	0.407127372706604	0.441284986812593	0.434677752767697	0.276647798983071	0.296760215924918	0.326200735168821	0.355812947103544	0.29780797655154	0.280878362816199	0.225789195593173	0.404350814766892	0.405228163546903	0.371591249625412
"or"	0.541473979980097	0.465488703383906	0.307889832779672	0.364511691884457	0.362567699947079	0.424333245788853	0.292697739676149	0.289929628459515	0.26660494462161	0.224584988927803	0.196113303499757	0.352881868593514	0.322706601130047	0.353678473550213	0.292208678870855	0.335938070546995	0.651255229007837	0.304861323364603	0.426654233117806	0.319649239110102	0.264344345153855	0.283166920645029	0.315887817518377
"been"	0.206345489668091	0.191812418210826	0.47367666581488	0.473302488433162	0.2083075294727	0.183843408673083	0.282856797419986	0.31089850226324	0.191166889551829	0.378182275061643	0.352811678354955	0.259364520394819	0.278205245992007	0.249832013078649	0.199129746115263	0.221524379853453	0.201413635222276	0.306428733767506	0.264587417772859	0.247449205635541	0.420019408839109	0.528047550814626	0.603923918983236
"when"	0.305859626529298	0.261127809215362	0.226866192574495	0.265724646742528	0.292756527907579	0.246669447491336	0.347244676753164	0.466068168410811	0.264890443370024	0.299656055156817	0.37011579336964	0.243291226173168	0.270740502549497	0.248796654549521	0.323841861396594	0.265342389055235	0.222249528521132	0.35266734065314	0.329751197946217	0.372486536334667	0.213800493307994	0.311976406547335	0.313067390576248
"were"	0.374641456418662	0.213921637755376	0.37457852125624	0.415780917844192	0.363693686592877	0.373351460190435	0.254458649766489	0.351717909934493	0.300894969653328	0.32981012360027	0.32637483597141	0.267401167505644	0.208438605356241	0.250556764049039	0.165903525620602	0.167969035273497	0.13570043327973	0.417714872373608	0.301101604938965	0.349513798410943	0.322469774776596	0.368837233986096	0.316592924253909
"an"	0.294152081016215	0.208543719487783	0.288568810884591	0.305739652369639	0.349055860197498	0.316705031747748	0.272172345827581	0.265605734847193	0.27260569900216	0.363733450599155	0.390784597414957	0.336077970089061	0.294857365979145	0.310814630444303	0.232583543462627	0.31159473210156	0.34673063463994	0.239813791644135	0.28228275463028	0.252700117160963	0.264344345153855	0.243743413620822	0.253133318056021
"very"	0.229760580694257	0.185239406994879	0.755389630220571	0.473302488433162	0.213937462701692	0.200322369674592	0.303944530826049	0.279584984049677	0.112299831978877	0.196315549762066	0.224953495190898	0.292972317403725	0.409125361752951	0.22167026108636	0.251927575942396	0.129019693760802	0.169358414762498	0.250785664464455	0.313460252902878	0.290441043749938	0.300735918482876	0.376039605461672	0.371943802993178
"one"	0.297078967394486	0.25335970505106	0.27610363546841	0.233212454670501	0.279244688157998	0.275507629243976	0.271328836491339	0.252185655612808	0.246030929602579	0.256623686648972	0.248986988266849	0.306123194494166	0.273037346685654	0.324170755470058	0.35024077631016	0.394362082816037	0.447170325413913	0.274296820507998	0.241555392021931	0.236947382584696	0.225425579232542	0.273690116071902	0.27992737400624
"who"	0.133173330211321	0.103375540032626	0.18386133738867	0.201950731524322	0.115976624517233	0.126682012699099	0.225779332334243	0.188160694265432	0.131159345746322	0.326040865044838	0.248025648543811	0.525304479334858	0.411422205889108	0.29052160327339	0.234404158284253	0.223958713697997	0.190728561735683	0.47414164687811	0.446596596877756	0.445014751779567	0.253730136266225	0.28619949810843	0.297555042394543
"they"	0.406837206579641	0.186434499943233	0.337182995007697	0.324496686257347	0.24321311549245	0.231735389083718	0.243774198174083	0.213043757845854	0.251174433357336	0.235264554834859	0.321087467494701	0.456627676751441	0.281650512196242	0.343014280700192	0.300629022420872	0.22639304754254	0.256976017352559	0.213167814794787	0.242117148747563	0.300614684830445	0.282540131818366	0.250945785096398	0.265120132560066
"there"	0.23854123982907	0.226470113713094	0.343415582715788	0.365762160810304	0.22970127574287	0.268298083805816	0.325313434010859	0.307543482454644	0.247745430854165	0.340803794386946	0.307148041510649	0.152696295105682	0.20126096743075	0.160377036161967	0.15065587648949	0.30429173056793	0.268729598187812	0.266459768493484	0.247453837641071	0.247121023665202	0.322975213295055	0.538282499753603	0.473126619542033
"are"	0.141953989346134	0.229457846083979	0.283582740718119	0.231336751281731	0.261228901825224	0.204957077456266	0.303382191268554	0.201301188515767	0.257175187737887	0.244687701223438	0.183615887100263	0.30100896451455	0.325003445266204	0.300771652711759	0.324979745660109	0.14849436451715	0.238811392425351	0.185738132743987	0.241555392021931	0.214302826631311	0.219360317011039	0.254736506925649	0.240441396816443
"do"	0.289761751448809	0.298773237088515	0.397015837005366	0.343253720145054	0.195921676368918	0.197747532018106	0.289886041888674	0.252185655612808	0.219456160202997	0.241232547547626	0.21918545685267	0.160002337933705	0.171976204694749	0.256872451076721	0.282195297351916	0.21909004600891	0.183783263969398	0.14341805186561	0.18397532764461	0.120114601144042	0.305284865149003	0.481800744497767	0.423769148054787
"could"	0.367324240472985	0.267700820431309	0.521667591167177	0.538326872577216	0.216189435993289	0.276022596775273	0.192320128663291	0.241002256250821	0.240887425847821	0.265104518398693	0.23360555269824	0.225756723385912	0.200973861913731	0.226018766908699	0.21551527950989	0.314029065946104	0.228660572613088	0.177117375528021	0.177796003662654	0.16310643925844	0.322469774776596	0.289990219937681	0.329284845493487
"more"	0.264883217233507	0.280846842863204	0.292308363509446	0.328248093034888	0.18803976984833	0.19517269436162	0.202442240698201	0.220312967431145	0.186880636422865	0.296829111240243	0.258600385497229	0.271784793202458	0.287966833570674	0.278407908482589	0.266264917662695	0.277514058277952	0.251099226934933	0.199061121168661	0.18987377326375	0.162778257288101	0.174376288868222	0.179301142523559	0.15512348181706
"we"	0.25756600128783	0.198982975900951	0.222503381178832	0.212579717394023	0.132866424204209	0.175088960641032	0.367488900822984	0.413226606425422	0.275177450879539	0.172129474031379	0.179770528208111	0.240368809041959	0.27619550737287	0.187503429625128	0.256934266701865	0.194746707563475	0.188057293364035	0.264108652889129	0.21431019082876	0.189689178855892	0.209251546641866	0.178163925974784	0.18720583828377
"should"	0.248785342153018	0.225872567238917	0.231229003970158	0.223833937726648	0.155386157120177	0.136466395793745	0.158017415656096	0.183687334520638	0.21174090457086	0.240290232908768	0.196593973361276	0.202377386336239	0.200686756396711	0.265880070280137	0.28538137328976	0.175272036807128	0.147454014114982	0.141066936261256	0.142124451584997	0.111581869915231	0.286078201447576	0.380588471656773	0.427294681732447
"them"	0.450740502253702	0.252762158576883	0.271740824072747	0.246342378391897	0.176779903390346	0.184873343735677	0.186696733088341	0.178654804807743	0.198882145183966	0.189091137530822	0.183615887100263	0.326580114412631	0.183173319858514	0.275923048012681	0.279236798266775	0.357847075147886	0.299182057624601	0.190440363952696	0.174706341671676	0.18739190506352	0.20065909182807	0.15769402809683	0.163584762643445
"any"	0.137563659778727	0.144008700276664	0.408234494879929	0.244466675003126	0.115976624517233	0.0947540257586759	0.190070770433311	0.187042354329234	0.120015087611014	0.247514645140012	0.194190624053681	0.330963740109445	0.348258992144793	0.220945510115971	0.22052197026936	0.133888361449889	0.198742366850628	0.173198849520764	0.146056748664423	0.136195517690649	0.231490841454046	0.269141249876802	0.26653034603113
"out"	0.152198091670081	0.130265131370592	0.129014565557474	0.144429160935351	0.198173649660515	0.190023019048649	0.296352946799866	0.306984312486545	0.265747693995817	0.213591318141127	0.2629264142509	0.176806236438158	0.146136708162984	0.187192822066389	0.180696021046307	0.438180092017819	0.267661090839152	0.261757537284775	0.293517889142928	0.283221040402482	0.172354534794388	0.159968461194381	0.162879655907913
"than"	0.188784171398466	0.206153533591075	0.258652389885757	0.266975115668376	0.172275956807152	0.192082889173838	0.148457643178681	0.163277630685011	0.170592874532798	0.258194211047069	0.206207370591657	0.379914227057199	0.35802057972346	0.234819314406289	0.219611662858547	0.23369604907617	0.222783782195462	0.169280323513507	0.162066815344947	0.125365512669465	0.17892523553435	0.204319906596614	0.177686897354087
"now"	0.21951647837031	0.280249296389027	0.195079995263233	0.215080655245717	0.252221008658837	0.255423895523387	0.255020989323983	0.206892888196761	0.200596646435552	0.198200179039781	0.215820767822037	0.23452397477954	0.293134732877027	0.212766177735857	0.221659854532876	0.0852016845590204	0.129823642862104	0.152038809081576	0.128080533444187	0.121427329025398	0.239577857749383	0.249808568547623	0.244672037229636
"upon"	0.175613182696248	0.211531451858668	0.0990981445586393	0.0869075903463799	0.0529213723525239	0.0690056491938183	0.220999446095536	0.225345497144039	0.0171450125158591	0.0417759489893675	0.0499896655979773	0.0796358668254513	0.211596766043456	0.414764626768781	0.288567449227604	0.525816110421383	0.58661053441395	0.170064028714959	0.176391611848573	0.165403713050812	0.0833973555456714	0.131917119657925	0.110701757478538
"little"	0.27659076274659	0.21511673070373	0.224996416262068	0.193822683506315	0.218441409284886	0.264178343555439	0.323907585117121	0.306425142518446	0.152590611391146	0.196315549762066	0.193229284330643	0.187765300680193	0.184321741926593	0.105710105823995	0.201177937789592	0.289685727500669	0.139974462674367	0.14341805186561	0.276665187373956	0.3685483526906	0.166794711091343	0.12926361437745	0.130797299441203
"such"	0.232687467072528	0.208543719487783	0.304773538925627	0.290108790796549	0.133992410850007	0.156035161983037	0.160829113443571	0.151535061354925	0.0882968144566745	0.119673959134955	0.102863350365069	0.241099413324761	0.247197850153889	0.255837092547593	0.233266274020737	0.0973733537817376	0.173098190482805	0.162226976700444	0.150269924106666	0.143415521038105	0.345214508107234	0.234266609047695	0.19884009942005
"up"	0.143417432535269	0.166715466295391	0.115926131370484	0.135050643991497	0.149756223891185	0.155005226920443	0.261206724456429	0.246034785963715	0.244316428350993	0.208565640067218	0.237450911590392	0.13954541801524	0.107951674399375	0.158720462515362	0.176372060844947	0.340806738236082	0.264989822467504	0.186521837945438	0.233690797863077	0.23858829243639	0.162245764425215	0.204319906596614	0.176981790618555
"man"	0.0702452730784991	0.0908270640749084	0.136493670807182	0.0819057146429911	0.0934568916012656	0.0844546751327329	0.168420697469753	0.10400561406648	0.0745808044439873	0.201969437595213	0.134587561225324	0.204569199184646	0.196380173641417	0.254387590606813	0.106505967065078	0.23369604907617	0.194468337455991	0.259406421680421	0.236499581491239	0.152932798177934	0.250192066637014	0.280892487547479	0.393802111794673
"am"	0.0790259322133115	0.157154722708559	0.264884977593847	0.226334875578342	0.109220704642443	0.124107175042614	0.239556651492871	0.268681169671739	0.0831533107019168	0.145744664143357	0.0504703354594964	0.192148926377006	0.232555468785888	0.270435647808301	0.316104248404686	0.0998076876262811	0.110056256911907	0.0963957397785249	0.0983074269856696	0.0712154875635442	0.119283490356233	0.18157557562111	0.157943908759188
